DC.identifier,DC.source,DC.date,DC.title,DC.publisher,filename_html,filename,n_tokens
815237,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815237.php,31.05.2019,Der Sommerleseclub startet am 13.06.2019,Bezirksamt Steglitz-Zehlendorf,815237.html,815237.txt,805
813305,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813305.php,31.05.2019,"""KARIBISCHE NACHT"" am 13.06.2019 im Hans-Rosenthal-Haus - Anmeldung empfohlen",Bezirksamt Steglitz-Zehlendorf,813305.html,813305.txt,735
815235,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815235.php,31.05.2019,Der Frauen-Computer-Stammtisch Berlin trifft sich am 08.06.2019 - Voranmeldung erforderlich,Bezirksamt Steglitz-Zehlendorf,815235.html,815235.txt,760
815233,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815233.php,31.05.2019,"Lesung mit Vincent Kliesch: ""Auris"" am 04.06.2019 in der Ingeborg-Drewitz-Bibliothek",Bezirksamt Steglitz-Zehlendorf,815233.html,815233.txt,820
807078,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.807078.php,30.05.2019,„Tiere für Fortgeschrittene“- eine Lesung mit Eva Menasse,Bezirksamt Marzahn-Hellersdorf,807078.html,807078.txt,763
815716,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815716.php,30.05.2019,Auch der Kiezspaziergang „ Hinter den Kulissen der Steglitzer Woche“ begeisterte die Teilnehmenden,Bezirksamt Steglitz-Zehlendorf,815716.html,815716.txt,1091
815715,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815715.php,30.05.2019,Der Berliner Landessieger beim Vorlesewettbewerb 2019 kommt aus Steglitz-Zehlendorf und heißt Matthis Studtmann,Bezirksamt Steglitz-Zehlendorf,815715.html,815715.txt,812
815956,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2019/pressemitteilung.815956.php,29.05.2019,ReiseBilder: Island – Land der Gletscher & Geysire,Bezirksamt Lichtenberg,815956.html,815956.txt,713
815953,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2019/pressemitteilung.815953.php,29.05.2019,"Das Seniorenkabarett ""Die Weisetreter"" spielt in Lichtenberg",Bezirksamt Lichtenberg,815953.html,815953.txt,808
815794,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815794.php,29.05.2019,Bezirk begrüßt Sicherung des Westkreuzparks als Grünfläche,Bezirksamt Charlottenburg-Wilmersdorf,815794.html,815794.txt,1130
